지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 이슬점온도(°C),평균 상대습도(%),일 최심적설(cm)
90,속초,2023-01-01,3.2,,-17.9,22,
90,속초,2023-01-02,-0.5,,-19.1,23,
90,속초,2023-01-03,0,,-21.8,18,
90,속초,2023-01-04,0.7,,-22.9,16,
90,속초,2023-01-05,2.5,,-16.4,23.8,
90,속초,2023-01-06,3.5,,-10.2,36.4,
90,속초,2023-01-07,2.5,,-3.6,66.3,
90,속초,2023-01-08,3.8,,-9.3,40,
90,속초,2023-01-09,5.2,,-5.6,46.4,
90,속초,2023-01-10,3.6,,-7.3,45.4,
90,속초,2023-01-11,8,,-10.9,26.4,
90,속초,2023-01-12,9.6,,-6.3,34.6,
90,속초,2023-01-13,6.1,,3.8,87.1,
90,속초,2023-01-14,3.8,,2.4,90.8,
90,속초,2023-01-15,-0.2,,-1.2,93.3,
90,속초,2023-01-16,-2.6,,-6.7,73.6,
90,속초,2023-01-17,-2.7,,-11,53,
90,속초,2023-01-18,-2.6,,-10.1,57,
90,속초,2023-01-19,0.3,,-9.2,48.9,
90,속초,2023-01-20,-1.1,,-17.2,29.6,
90,속초,2023-01-21,-4.1,,-18.9,32.3,
90,속초,2023-01-22,-0.7,,-8.2,57,
90,속초,2023-01-23,0.8,,-7.1,57.9,
90,속초,2023-01-24,-11.3,,-26.3,28.3,
90,속초,2023-01-25,-9.7,,-23.7,31.5,
90,속초,2023-01-26,-4.1,,-12.6,51.5,
90,속초,2023-01-27,-5.7,,-17.9,38.4,
90,속초,2023-01-28,-5.4,,-19.3,32.9,
90,속초,2023-01-29,-1.3,,-11.9,45.1,
90,속초,2023-01-30,-0.2,,-14.6,33.5,
90,속초,2023-01-31,3.9,,-6.9,45.4,
90,속초,2023-02-01,3.2,,-10.4,37,
90,속초,2023-02-02,-2.2,,-9.9,56.4,
90,속초,2023-02-03,-1.2,,-10.4,50.1,
90,속초,2023-02-04,0.9,,-15.7,27.6,
90,속초,2023-02-05,3.7,,-11.7,31.9,
90,속초,2023-02-06,5,,-6.9,42.4,
90,속초,2023-02-07,2.6,,-2.7,68,
90,속초,2023-02-08,1.2,,-4.1,69.1,
90,속초,2023-02-09,2.2,,-5.2,59.1,
90,속초,2023-02-10,1.4,,-0.4,87.9,
90,속초,2023-02-11,3.7,,-2.1,67.5,
90,속초,2023-02-12,4.4,,-2.3,63,
90,속초,2023-02-13,1.4,,-0.6,87.8,
90,속초,2023-02-14,-0.8,,-6.9,64.4,
90,속초,2023-02-15,-1.2,,-4.2,80.3,
90,속초,2023-02-16,1.4,,-5.4,63,
90,속초,2023-02-17,5.5,,-6.6,41.6,
90,속초,2023-02-18,5.8,,-2.3,57.9,
90,속초,2023-02-19,5.8,,-9.2,35,
90,속초,2023-02-20,0.5,,-15.5,30.1,
90,속초,2023-02-21,-2,,-12.8,44.4,
90,속초,2023-02-22,3.7,,-10,37.6,
90,속초,2023-02-23,5.9,,-7.1,40.8,
90,속초,2023-02-24,3.4,,-5.5,52.8,
90,속초,2023-02-25,-0.7,,-5,73.6,
90,속초,2023-02-26,2.5,,-8.2,46.5,
90,속초,2023-02-27,8.7,,-9.6,29,
90,속초,2023-02-28,9.7,,-10.9,24.5,
90,속초,2023-03-01,7.2,,-5.7,40.1,
90,속초,2023-03-02,2.5,,-11.7,35.6,
90,속초,2023-03-03,8.7,,-8.4,29.4,
90,속초,2023-03-04,6.1,,0.2,66.6,
90,속초,2023-03-05,7.3,,1.2,67.8,
90,속초,2023-03-06,14.1,,-9.4,22.4,
90,속초,2023-03-07,14.4,,1.3,42,
90,속초,2023-03-08,15.6,,1.6,42.6,
90,속초,2023-03-09,6.6,,4.5,87.1,
90,속초,2023-03-10,9.4,,6.7,84,
90,속초,2023-03-11,7.2,,5.8,91.3,
90,속초,2023-03-12,5.5,,0.7,74.4,
90,속초,2023-03-13,4.2,,-15.2,23.4,
90,속초,2023-03-14,9.3,,-2.5,44.4,
90,속초,2023-03-15,13.3,,0.7,42.1,
90,속초,2023-03-16,5.7,,-10.5,31.5,
90,속초,2023-03-17,5.6,,-6.6,42.8,
90,속초,2023-03-18,7.1,,-2.5,51,
90,속초,2023-03-19,10,,-2.7,42.5,
90,속초,2023-03-20,11.7,,-1.3,42.9,
90,속초,2023-03-21,13,,0.9,47.3,
90,속초,2023-03-22,11.8,,6.8,72.3,
90,속초,2023-03-23,10.4,,6.2,76.3,
90,속초,2023-03-24,7.4,,3.1,75.4,
90,속초,2023-03-25,6.4,,4.8,90.1,
90,속초,2023-03-26,5.8,,1.6,75.4,
90,속초,2023-03-27,7.1,,1,66.1,
90,속초,2023-03-28,9.6,,-1.6,46.4,
90,속초,2023-03-29,12.6,,1.1,48.5,
90,속초,2023-03-30,19.3,,-7.1,17.6,
90,속초,2023-03-31,13.8,,4.9,59.9,
90,속초,2023-04-01,12.5,,9.1,80.5,
90,속초,2023-04-02,11.3,,8.8,85.5,
90,속초,2023-04-03,11.5,,7.5,77,
90,속초,2023-04-04,11.9,,8.6,81.1,
90,속초,2023-04-05,11.4,,10.8,96.4,
90,속초,2023-04-06,13.5,,6.6,63.6,
90,속초,2023-04-07,11.9,,-2.6,37.3,
90,속초,2023-04-08,11.2,,-9.2,23.4,
90,속초,2023-04-09,14.8,,-5.7,24.8,
90,속초,2023-04-10,17.7,,-4.2,22.8,
90,속초,2023-04-11,17.6,,3.5,41.6,
90,속초,2023-04-12,13.6,,-14.3,13.5,
90,속초,2023-04-13,17.5,,-8,18.1,
90,속초,2023-04-14,12.1,,3.7,59.1,
90,속초,2023-04-15,7.5,,4.8,83.5,
90,속초,2023-04-16,7.9,,5.2,83.5,
90,속초,2023-04-17,10,,6.7,81,
90,속초,2023-04-18,10.6,,8.5,88,
90,속초,2023-04-19,11,,9,88.3,
90,속초,2023-04-20,19.3,,9.3,56.6,
90,속초,2023-04-21,12.1,,1.5,49.5,
90,속초,2023-04-22,10.6,,2.1,57.9,
90,속초,2023-04-23,11.1,,6.5,73.8,
90,속초,2023-04-24,10.9,,7,77.9,
90,속초,2023-04-25,10.3,,6.3,77.1,
90,속초,2023-04-26,10.7,,3.7,63.5,
90,속초,2023-04-27,12.9,,6.1,65.1,
90,속초,2023-04-28,17,,5.6,48.3,
90,속초,2023-04-29,13.2,,9.4,80,
90,속초,2023-04-30,15.6,,1.7,40.3,
90,속초,2023-05-01,14.2,,1.3,42.5,
90,속초,2023-05-02,16.3,,4.3,47,
90,속초,2023-05-03,19.5,,5.2,41.5,
90,속초,2023-05-04,17.7,,11.2,67.1,
90,속초,2023-05-05,12.8,,11.3,91.3,
90,속초,2023-05-06,9.1,,7.4,89.6,
90,속초,2023-05-07,9.6,,4.6,72.3,
90,속초,2023-05-08,13.6,,3.9,53.3,
90,속초,2023-05-09,22.9,,2.1,27,
90,속초,2023-05-10,15.7,,9.5,67.8,
90,속초,2023-05-11,13.8,,11.3,85.4,
