지역,보험명,담당부서명,담당자전화번호,계약자명,피보험자명,청구방법,홈페이지,보험료합계,보장시작,보장종료,보장항목,보장설명,보장금액(원),최종수정일
서울특별시 중구,용산구 구민안전보험,안전재난과,02-2199-7957,용산구청,"용산구에 주민등록된 모든 구민(자동 가입, 등록 외국인 포함)",보험접수센터에 문의(1522-3556),https://www.yongsan.go.kr/portal/main/contents.do?menuNo=201276,63403620,20250223,20260222,화상 진단위로금(수술비),수술1회당/ 심재성2도이상,20,20250226
서울특별시 광진구,동대문구 생활안전보험,안전재난과,02-2127-4458,동대문구,동대문구민,한국지방재정공제회(☎1577-5939) 팩스 또는 전자우편 접수,https://www.ddm.go.kr/www/contents.do?key=3733,76625780,20250117,20260116,화상 진단위로금(수술비),심재성2도 이상 화상 수술비,100,20250225
서울특별시 동대문구,중랑구 구민안전보험,도시안전과,02-2094-0274,중랑구,중랑구민,보험사에 등기접수 ,https://www.lofa.or.kr/index.do,56310060,20250129,20260128,화상 진단위로금(수술비),화상수술비,10,20250226
서울특별시 중랑구,성북구민안전보험,도시안전과,02-2241-3672,성북구청,성북구민(등록된 외국인포함),구민안전보험 상담접수센터(☎ 1522-3556 / FAX 0507-774-0662),https://www.sb.go.kr,137000000,20250201,20260131,화상 진단위로금(수술비),성북구민이 상해로 화상을 입고 병원또는 의원 등에서 수술을 받은경우 (수술회당),200,20250212
서울특별시 노원구,2024년 은평구 구민안전보험,안전관리과,02-351-7684,서울특별시 은평구,은평구에 주민등록이 된 구민 전체,청구인이 보험사에 직접 청구,https://www.ep.go.kr/www/contents.do?key=3474,78609590,20240801,20250731,화상 진단위로금(수술비),,70,20240802
서울특별시 은평구,2024년 은평구 구민안전보험,안전관리과,02-351-7684,서울특별시 은평구,은평구에 주민등록이 된 구민 전체,청구인이 보험사에 직접 청구,https://www.ep.go.kr/www/contents.do?key=3474,78609590,20240801,20250731,화상 진단위로금(수술비),,70,20240802
서울특별시 강서구,강서구 생활안전보험,안전관리과,02-2600-6807,강서구,강서구에 주민등록을 둔 모든 구민 (등록 외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
 *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
 *자세한 사항은 구민안전보험 통합상담센터(1522-3556)에 문의해 주세요.",https://www.gangseo.seoul.kr/gs031202,239550850,20250201,20260131,화상 진단위로금(수술비),구민이 상해로 화상을 입고 병원 또는 의원 등에서 수술을 받은경우,50,20250501
서울특별시 구로구,구로구 구민안전보험,도시안전과,02-860-3290,구로구,구로구에 주민등록을 둔 모든 구민(등록 외국인 포함),보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구,https://guro.go.kr/www/contents.do?key=4119&,115448010,20250301,20260228,화상 진단위로금(수술비),화상수술비,100,20250310
서울특별시 동작구,동작구 구민안전보험,도시안전과,02-820-9931,동작구,동작구에 주민등록을 둔 모든 구민 (등록 외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
  *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
  *자세한 사항은 NH 농협손해보험에 문의해 주세요.",https://www.dongjak.go.kr/portal/main/contents.do?menuNo=201283,5000000,20250101,20251231,화상 진단위로금(수술비),동작구민이 상해로 화상을 입고 병원 또는 의원 등에서 수술을 받은 경우  ※ 타 보험 가입여부와 관계없이 중복보상,30,20250506
서울특별시 관악구,관악구 구민안전보험,안전관리과,02-879-5812,관악구,"주민등록되어있는 관악구민(등록외국인, 국내거소인 포함)","피보험자 또는 법정상속인이 보장기간 내 사고발생일로부터 3년 이내, 보험사(한국지방재정공제회)에 직접 청구(이메일 또는 우편, 팩스)",https://www.gwanak.go.kr/site/gwanak/10/11005100000002023050803.jsp,150928170,20250330,20260329,화상 진단위로금(수술비),화상을 입고 수술을 받은 경우,50,20250228
